TO_Time_UTC, jNO2_up, jNO2_down, jNO2_total, NO_ppbv, NO2_ppbv, NOy_ppbv, O3_ppbv, NOx_ppbv, Ox_ppbv, CO2_ppm, CO2_i_ppm, CH4_ppb, CH4_i_ppb, CO_ppb, CO_i_ppb, H2O_pct, H2O_i_pct, AmbTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd, Heading, Pitch, Roll, TrueAirSpd, GPSAlt, GPSLat, GPSLon
70320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70355,,,,,,,,,,,,,,,,,,36.54,0.0,1002.3,,,,232.7,-0.9,-0.7,42.1,29.0,38.562,-121.29
70356,,,,,,,,,,,,,,,,,,36.05,0.0,1001.22,,,,232.9,-1.1,-0.7,45.4,29.0,38.561,-121.29
70357,,,,,,,,,,,,,,,,,,35.7,0.0,998.42,,,,232.8,-1.2,-0.8,52.3,29.0,38.561,-121.291
70358,,,,,,,,,,,,,,,,,,35.59,0.0,997.44,,,,233.3,-1.2,-0.7,53.8,29.0,38.561,-121.291
